"team_api_id","team_name","build_up","chance_cr","defence","home_goals","away_goals","total_goals"
9777,"Servette FC",99,175,170,41,36,77
9783,"RC Deportivo de La Coruña",157,187,154,144,97,241
9788,"Borussia Mönchengladbach",121,185,160,242,161,403
9789,"Borussia Dortmund",170,194,178,298,253,551
9790,"Hamburger SV",164,200,175,178,166,344
9791,"Heracles Almelo",147,173,169,235,168,403
9798,"Reading",144,210,200,23,20,43
9800,"St. Mirren",178,210,200,137,120,257
9803,"Roda JC Kerkrade",133,159,146,192,151,343
9804,"Torino",209,189,145,125,116,241
9807,"CF Os Belenenses",157,160,135,83,65,148
9809,"Naval 1° de Maio",115,165,121,37,34,71
9810,"Eintracht Frankfurt",153,165,151,176,120,296
9817,"Watford",160,205,205,20,20,40
9823,"FC Bayern Munich",105,205,184,382,271,653
9824,"FC Vaduz",141,137,133,53,47,100
9825,"Arsenal",140,150,170,306,267,573
9826,"Crystal Palace",173,205,185,58,61,119
9827,"Girondins de Bordeaux",139,190,195,228,176,404
9829,"AS Monaco",168,165,205,153,134,287
9830,"FC Nantes",189,160,152,79,56,135
9831,"OGC Nice",175,165,210,198,144,342
9836,"Dijon FCO",154,165,149,23,15,38
9837,"Stade de Reims",154,165,140,98,70,168
9839,"VVV-Venlo",100,164,155,101,51,152
9847,"Paris Saint-Germain",174,191,210,332,236,568
9850,"Norwich City",140,195,200,96,64,160
9851,"Stade Rennais FC",167,195,210,205,162,367
9853,"AS Saint-Étienne",165,175,148,223,148,371
9855,"Grenoble Foot 38",140,195,195,33,22,55
9857,"Bologna",164,175,135,155,108,263
9858,"Brescia",141,180,155,22,12,34
9860,"Heart of Midlothian",168,210,200,189,128,317
9864,"Málaga CF",129,191,164,222,155,377
9865,"UD Almería",152,180,193,121,81,202
9867,"CD Tenerife",163,180,174,26,14,40
9868,"Xerez Club Deportivo",104,159,165,20,18,38
9869,"Real Sporting de Gijón",153,185,195,119,81,200
9873,"Valenciennes FC",160,188,155,162,94,256
9874,"FC Sochaux-Montbéliard",164,184,165,144,102,246
9875,"Napoli",180,215,165,303,211,514
9876,"Hellas Verona",157,173,169,83,62,145
9878,"Pescara",152,180,145,15,12,27
9879,"Fulham",142,190,138,173,92,265
9880,"Cesena",143,170,145,51,47,98
